r,e,y,AnnualEmissions
RE1,EMIC02,2015,651263.08
RE1,EMIC02,2016,652609.22
RE1,EMIC02,2017,667192.7
RE1,EMIC02,2018,684898.72
RE1,EMIC02,2019,707418.51
RE1,EMIC02,2020,831103.72
RE1,EMIC02,2021,849129.02
RE1,EMIC02,2022,867591.58
RE1,EMIC02,2023,886042.68
RE1,EMIC02,2024,927890.92
RE1,EMIC02,2025,922911.94
RE1,EMIC02,2026,943140.58
RE1,EMIC02,2027,963357.4
RE1,EMIC02,2028,983562.75
RE1,EMIC02,2029,1003756.9
RE1,EMIC02,2030,1023940.3
RE1,EMIC02,2031,1047105.0
RE1,EMIC02,2032,1062756.4
RE1,EMIC02,2033,1075642.3
RE1,EMIC02,2034,1088518.8
RE1,EMIC02,2035,1102249.6
RE1,EMIC02,2036,1121384.7
RE1,EMIC02,2037,1138591.1
RE1,EMIC02,2038,1166373.8
RE1,EMIC02,2039,1183200.5
RE1,EMIC02,2040,1202570.3
RE1,EMIC02,2041,1220596.0
RE1,EMIC02,2042,1236951.3
RE1,EMIC02,2043,1253298.8
RE1,EMIC02,2044,1275537.9
RE1,EMIC02,2045,1297760.8
RE1,EMIC02,2046,1310242.0
RE1,EMIC02,2047,1323927.0
RE1,EMIC02,2048,1336322.7
RE1,EMIC02,2049,1348303.7
RE1,EMIC02,2050,1361158.1
RE1,EMIC02,2051,1383179.8
RE1,EMIC02,2052,1395784.6
RE1,EMIC02,2053,1408507.0
RE1,EMIC02,2054,1421348.1
RE1,EMIC02,2055,1434309.1
RE1,EMIC02,2056,1447391.1
RE1,EMIC02,2057,1460595.3
RE1,EMIC02,2058,1473922.9
RE1,EMIC02,2059,1487375.1
RE1,EMIC02,2060,1500953.0
RE1,EMIC02,2061,1514658.0
RE1,EMIC02,2062,1528491.2
RE1,EMIC02,2063,1542453.9
RE1,EMIC02,2064,1556547.4
RE1,EMIC02,2065,1570772.8
RE1,EMIC02,2066,1585131.6
RE1,EMIC02,2067,1599624.9
RE1,EMIC02,2068,1614254.1
RE1,EMIC02,2069,1629020.5
RE1,EMIC02,2070,1643925.5
