r,t,y,DiscountedSalvageValue
RE1,UPSREF001,2046,0.0
RE1,UPSREF001,2053,-0.0
RE1,UPSREF001,2056,-0.0
RE1,UPSREF001,2057,-0.0
RE1,UPSREF001,2062,-0.0
RE1,UPSREF001,2063,-0.0
RE1,UPSREF001,2064,-0.0
RE1,UPSREF001,2065,-0.0
RE1,UPSREF001,2066,0.0
RE1,UPSREF001,2070,0.0
RE1,UPSREF002,2050,-0.0
RE1,UPSREF002,2057,0.0
RE1,UPSREF002,2061,-0.0
RE1,UPSREF002,2062,-0.0
RE1,UPSREF002,2063,-0.0
RE1,UPSREF002,2064,0.0
RE1,UPSREF002,2065,0.0
RE1,UPSREF002,2070,-0.0
RE1,PWRBIO001,2065,166.882
RE1,PWRBIO001,2066,273.8606
RE1,PWRBIO001,2067,283.3882
RE1,PWRBIO001,2068,292.6464
RE1,PWRGEO,2025,0.2543
RE1,PWROHC001,2049,-0.0
RE1,PWROHC001,2060,-0.0
RE1,PWROHC001,2061,-0.0
RE1,PWROHC001,2063,-0.0
RE1,PWROHC001,2064,0.0
RE1,PWROHC001,2065,0.0
RE1,PWROHC002,2025,57.821
RE1,PWRNGS001,2065,0.0004
RE1,PWRNGS002,2058,0.0
RE1,PWRNGS002,2063,-0.0
RE1,PWRNGS002,2068,-0.0
RE1,PWRSOL001,2054,121.5281
RE1,PWRSOL001,2055,75.9559
RE1,PWRSOL001,2056,13.3708
RE1,PWRSOL001,2057,13.9609
RE1,PWRSOL001,2058,14.5229
RE1,PWRSOL001,2059,15.0582
RE1,PWRSOL001,2061,32.1069
RE1,PWRSOL001,2062,16.5158
RE1,PWRSOL001,2063,16.9562
RE1,PWRSOL001,2064,17.3756
RE1,PWRSOL001,2065,17.775
RE1,PWRSOL001,2066,18.1554
RE1,PWRSOL001,2067,18.5177
RE1,PWRSOL001,2068,18.8627
RE1,PWRSOL001,2069,19.1913
RE1,PWRHYD001,2034,-0.0
RE1,PWRHYD002,2037,0.0
RE1,PWRHYD002,2038,-0.0
RE1,PWRHYD002,2065,-0.0
RE1,PWRHYD002,2066,-0.0
RE1,PWRHYD003,2060,-0.0
RE1,PWRHYD003,2067,-0.0
RE1,PWRWND001,2069,526.092
RE1,PWRNUC,2035,847.763
RE1,PWRNUC,2036,839.9286
RE1,PWRNUC,2037,1246.4828
RE1,PWRNUC,2038,1231.6168
RE1,PWRNUC,2039,1620.6406
