r,e,y,AnnualEmissions
RE1,EMIC02,2015,618121.87
RE1,EMIC02,2016,605294.65
RE1,EMIC02,2017,604934.33
RE1,EMIC02,2018,604924.76
RE1,EMIC02,2019,605044.44
RE1,EMIC02,2020,606143.95
RE1,EMIC02,2021,607079.48
RE1,EMIC02,2022,756185.88
RE1,EMIC02,2023,773340.42
RE1,EMIC02,2024,778290.67
RE1,EMIC02,2025,919486.68
RE1,EMIC02,2026,939715.32
RE1,EMIC02,2027,959932.14
RE1,EMIC02,2028,980137.49
RE1,EMIC02,2029,1000331.7
RE1,EMIC02,2030,1020515.0
RE1,EMIC02,2031,1043679.7
RE1,EMIC02,2032,1063429.4
RE1,EMIC02,2033,1083164.7
RE1,EMIC02,2034,1102886.1
RE1,EMIC02,2035,1125272.9
RE1,EMIC02,2036,1144407.9
RE1,EMIC02,2037,1161614.3
RE1,EMIC02,2038,1178838.2
RE1,EMIC02,2039,1195664.9
RE1,EMIC02,2040,1212442.9
RE1,EMIC02,2041,1224649.5
RE1,EMIC02,2042,1232277.5
RE1,EMIC02,2043,1243214.7
RE1,EMIC02,2044,1264749.5
RE1,EMIC02,2045,1286972.4
RE1,EMIC02,2046,1299453.5
RE1,EMIC02,2047,1313138.6
RE1,EMIC02,2048,1325534.3
RE1,EMIC02,2049,1337515.2
RE1,EMIC02,2050,1350387.5
RE1,EMIC02,2051,1375291.3
RE1,EMIC02,2052,1388430.7
RE1,EMIC02,2053,1408018.4
RE1,EMIC02,2054,1420859.5
RE1,EMIC02,2055,1434065.9
RE1,EMIC02,2056,1447391.1
RE1,EMIC02,2057,1460595.3
RE1,EMIC02,2058,1473922.9
RE1,EMIC02,2059,1487375.1
RE1,EMIC02,2060,1500953.0
RE1,EMIC02,2061,1514658.0
RE1,EMIC02,2062,1528491.2
RE1,EMIC02,2063,1542453.9
RE1,EMIC02,2064,1556547.4
RE1,EMIC02,2065,1570772.8
RE1,EMIC02,2066,1585131.6
RE1,EMIC02,2067,1599624.9
RE1,EMIC02,2068,1614254.1
RE1,EMIC02,2069,1629020.5
RE1,EMIC02,2070,1643925.5
